A	a
adimpleo	to fulfill, perform, carry out.
adinvenio	to devise.
adinventio	to invention.
adipiscor	to acquire, arrive at, reach. to come up to, overtake, obtain.
aditus	entrance, ingress.
adiutorium	assistance, help, aid, assistance.
adiuvare	abet
adiuvo	to help, aid, assist, succor.
adjicio	to add, to turn towards, move towards, suggest.
adjungo	to join connect.
adminiculum	assistance, aid.
administratio	giving of help, administration, government.
administro	to guide, serve (food).
admiratio	wonder, astonishment, surprise, admiration.
admiror	to wonder at, admire, marvel at, be astonished at.
admitto	to admit, receive.
admoneo	admonish, advise. to urge or incite to action.
admonitio	warning, reminder. (insult: Herimann, p. 282).
admoveo	to move to, bring up, apply.
adnihilo	to bring to nothing, annihilate, demolish.
adnuo	to nod assent.
adolescens	young man, coming to maturity,.
adopto	to wish for oneself, adopt, select, pick out.
adorno	to equip, furnish, embellish.
adservio	to aid, help, assist.
adstringo	(persons) bind, oblige, (+ refl.) commit oneself to. to draw together, tighten, compress, compact /.
adsuetudo	custom, habit.
adsum	to assist, be present, be near, be in attendance,. to to be at hand/ to come.
aduentus	arrival.
adulatio	fawning, flattery, sycophancy, buttering up.
adulator	sycophant, adulator.
adulescens	young man, youth, lad.
adulescentia	youth.
adultus	(adj.) grown up, mature, adult, of age.
adveho	to carry, come.
advena	foreigner.
advenio	to come, arrive, reach.
adventum	arrival, advent, a coming.
adversa	unfavorable.
adversarius	opponent. opposite
adversitas	opposition/ adversity.
adversor	to oppose, resist, fight back.
adversum	adversity. oppositely
adversus	(adj.) facing, opposite, opposing. /unfortunate. (prep. + acc.) toward, against, facing.
adverto	to turn towards, direct one's attention to, attract.
advoco	to summon, call / call in an advisor.
aeger	diseased, sick, infected, ill.
aegre	with displeasure.
aegroto	to languish, grow more sick, fail.
aegrotus	ill, sick.
aegrus	ill, diseased, unwell.
aequalis	contemporary
aequor	to calm smooth sea.
aequoreus	to marine, sometimes the surface of the the sea.
aer	aeris air, atmosphere, ether, weather.
aerumna	toil, hardship, tribulation.
aerumnosus	wretched.
aestimo	to estimate, guess, reckon.
aestuo	to burn with desire, blaze, vacillate , heave.
aestus	passionate fire.
aetas	an age, stage, period of life, time, era.
aeturne	eternally
aeturnus	eternal
aevum	age, life.
affabilis	courteous.
affamen	import.
affatus	address, speech.
affectuosus	affectionate.
affectus	goodwill, emotion, disposition of mind.
affero	to carry.
affinis	trelated by marriage.
affinitas	relationship, neighborhood.
afflictio	reduced condition, state.
afflictus	distressed, cast down, prostrate, ruined, weakened.
affligo	to reduce, ruin, distress, cast down, strike against, weaken.
affluencia	abundance, affluence.
affluenter	copiously, affluently.
affluo	to come in haste.
affor	to speak to, address.
agalmate	effigy, as of a ruler on a seal
ager	land, countryside, fields.
agger	bulwark, mound. weir
aggero	to make a mound, heap up, increase. to pucker, pile up.
aggravo	to annoy, incommode.
aggredior	to go to, approach, address, attack. to go to, begin, attack.
agito	to put in motion, move, rouse.
agmen	host.
agna	ewe, lamb.
agnatus	a relation in the male line.
agnellus	small lamb, lambkin.
agnitio	recognition, knowledge.
agnosco	acknowledge. to know again, recognize, report, understand, admit. to recognize, understand, perceive.
agnus	sheep.
agonotheta	champion.
agrarius	relating to the land, farming, or countryside.
agrestis	(adj) rustic, wild, unmannered, boorish, clodish.
agricola	(masc.) farmer, tiller of fields, cultivator.
agripeta	(masc.) someone who seizes land, squatter, land-grabber.
ait	he says.
aiunt	they say.
ala	wing/armpit/naval squadron /part of line of battle /sails, oars.
alacer	(-ris) quick, sharp, rapid, ready, keen.
alacritas	rapidity, quickness, animation, sharpness, eagerness.
alarius	relating to the wing of an army / allied troops.
alatus	winged, having wings.
alauda	the lark.
alba	alb.
albeo	to become white.
album	writing tablet / list.
albus	white.
alcedo	the kingfisher.
alcedonia	(neuter pl.) the kingfisher's time, calm, tranquility.
alces	the elk.
alcyon	the kingfisher.
alea	dice game / risk, chance, hazard.
aleator	dice-player / gambler / someone who takes chances.
ales	augury.
alesco	to grow, mature.
alga	sea-weed.
algeo	(-ere, alsi, algens) to be cold.
algesco	to bcome cold / to catch cold.
algidus	(-a, -um) cold.
algor	cold.
alias	at another time / otherwise.
alibi	elsewhere, in other respects.
alica	spelt.
alicubi	everywhere, somewhere.
alicunde	from somewhere, from anywhere.
alienari	(pass) to lose one's mind.
alienatio	alienation, transfer of ownership.
alienigena	foreign, strange, outlandish.
alienigenus	composite, made up of different substances, heterogenous.
alieno	to let go, transfer / estrange / forget.
alienus	somebody else's, foreign, alien, strange, different.
aliger	winged, having wings.
alimentum	food, provender, victuals.
alimonia	nourishment.
alimonium	nourishment, essentials, provisions, food.
alio	to another place, person, end / for another purpose.
alioqui	(adv.) otherwise.
alioquin	(adv.) otherwise, in some respects /in general.
alipes	wing-footed.
aliqua	some.
aliquando	at any time, sometimes, occasionally, at last.
aliquanta	(adj.) moderate, or some size.
aliquanto	somewhat, considerably.
aliquantulus	little, small, diminutive / a little, a bit.
aliquantum	(noun) a good deal.
aliquantus	(adj.) of some size, moderate.
aliquatenus	to a certain extent.
aliqui	some.
aliquid	someone, somebody, something.
aliquis	someone, anyone, anything, (adv.) in any respect.
aliquo	(adv.) in some direction.
aliquot	some, several.
aliquotiens	some times.
aliquoties	(adverb) several times.
aliter	otherwise, in another way, in a different fashion.
alius	+quam = other than.
aliusmodi	in another way, somehow else, in a different fashion.
allec	herrings, pickled fish.
allocutio	to address, encouragement.
alloquor	to address, encourage.
alma	a nourishing one.
almitas	bounty.
almus	bountiful. kind, generous / nourishing.
alnus	alder. the alder tree.
alo	nourish, cherish, support, sustain, maintain, keep.
alodus	heritable estate.
alquod	some.
alter	(adv.) otherwise.
altercatio	dispute, strife.
alternis	by turns.
alterno	to do one thing and then another.
altilis	domestic fattened bird.
altithronus	one enthroned on high, seated in heaven.
altivolus	soaring.
altor	foster-father, patron, advocate, protector, educator.
altus	matured / great / high / deep / noble / ancient, old / secret.
alumno	nurseling, student, disciple.
alumnus	nursling.
alveus	hollow, basket, bed (of a river).
amare	love
amaritudo	bitterness.
ambages	double-talk, digression.
ambiguitas	uncertainty.
ambiguus	doubtful.
ambitio	desire for power.
ambitus	border, edge, extent /going around, circuit. circumference.
ambivium	double way.
ambulo	to walk.
amens	out of ones senses.
amicabiliter	amicably, pleasantly, sociably.
amicitia	friendship, alliance.
amictus	mantle.
amiculum	cloak, cape.
amicus	friend, comrade.
amita	father's sister, paternal aunt. paternal aunt.
amitto	let slip. to dismiss, send away, lose, let slip away.
amnis	stream, torrent.
amo	to love, like, be fond of, cherish.
amoena	pleasant .
amoenitas	pleasantness .
amor	love, affection, infatuation, passion.
amotio	removal.
amoveo	to move away, remove, take out, shift.
amplector	to embrace, surround.
amplexus	an embracing, surrounding, loving embrace, .
amplifico	to increase, enlarge.
amplio	to enlarge, increase, improve.
amplitudo	size, breadth, dignity, grandeur, greatness.
amplus	large, spacious, ample /great important, honorable.
an	(adv.) or "Are you going OR are you staying?".
anarchos	without beginning, without a leader.
ancilla	maidservant, also used by nuns to decribe themselves.
andron	corridor, aisle.
anethum	dill, anise.
anfractus	crooked, with tortuous bends.
angelus	angel.
ango	to trouble, draw together.
angulus	corner, niche.
angustata	circumscribed.
angustus	narrow, limited, strait, tight, constricted.
anhelo	to desire, want, strive for/ breathe, live.
anima	life, soul.
animadverto	sometimes understand, realize. to turn the mind to, take notice of, see, perceive.
animi	at heart.
animositas	spirit, wrath.
animosus	courageous, ardent, passionate, furious. undaunted, wrathful.
animus	character, intellect, memory, consciousness, often = mind. courage, vivacity, bravery, will, spirit, soul. soul, spirit, intellect.
annecto	to connect.
annona	yearly produce, grain crop / price of grain / cost of living.
annullo	to obliterate, destroy, annihilate.
annuo	to allow, grant, promise /designate. to give assent, approve. to nod, consent, give assent to /approve, favor.
annus	year.
ansa	a handle.
anser	goose.
ante	(prep. + acc.) before/ in front of/ (adv.) before, previously.
antea	(adv.) before, previously, formerly.
antecedo	to precede.
antecessor	predecessor.
antepono	(+ dat.) put before, prefer, favor, promote.
antequam	before (in time).
anticipo	to surpass, excel.
antiquitas	the ancients.
antiquus	ancient, old, hoary,.
antistes	bishop.
antrum	grotto.
anxia	uneasy.
anxio	to make uneasy, to anguish.
aper	wild boar.
aperio	to uncover, lay bare, reveal, make clear.
aperito	F, an opening.
aperte	openly, frankly.
apertio	f, an opening.
apex	summit.
apices	writing.
apostolus	(legal) notice sent to a higher tribunal / ecc. Apostle.
apparatus	equipment, gear, machinery/ splendor, magnificence. exertion, effort.
appareo	to become visible, appear, manifest.
appello	to call, name, summon. to drive, move towards/  to land. to land.
appenditia	appurtenance.
applico	to land, steer, attach.
appono	to appoint a person, to add something. to place near, put to, serve, put on the table.
appositus	placed near, approaching, appropriate, appositively.
approbo	to approve.
appropinquare	approach
appropinquo	(+ dat.) to near, drawn near, come close, approach. to approach.
apto	to fit, approve, be suitable, proper, fit.
aptus	fitted, connected, fastened /prepared, fitted out. qualified suitable, appropriate, fitting.
apud	(prep. + acc.) among, in the presence of, at, at the house of.
aqua	water.
aquila	eagle.
aquilo	north wind. the north wind.
aquilus	dark colored, swarthy.
ara	altar /refuge, protection.
aranea	spider's web.
arator	plowman, cultivator.
aratrum	plow.
arbitrium	judgment.
arbor	tree.
arbustum	a vineyard planted with trees.
arbustus	planted with trees.
arcanum	sacred secret.
arceo	to shut up, enclose.
archidictus	extremely eloquent.
archipater	great ancestor.
archos	ruler.
arcus	bow (BOW and arrows), arch, bend, arc.
ardens	ablaze burning.
ardor	ardor, impatience.
arduum	steep place, the steep.
arduus	difficult, proudly elevated.
argentum	silver, money.
argumentatio	argumentation.
argumenti	contexts
argumentosus	proven, rich in material.
argumentum	context proof, evidence.
arguo	to blame, accuse /prove, expose, convict /declare. to show, make clear, attempt to show /censure, reprove.
argutus	acute.
arista	the point of the ear, the beard on an ear of wheat.
arma	arms, weapons, armaments.
armarium	cupboard, chest, safe (for food, clothing, money).
armentum	herd.
armiger	armed.
armilla	armlets.
armis	by force of arms.
armo	to provide arms, arm, equip, fit out.
aro	to plow.
arripio	to lay hold of.
arrogans	presuming, haughty.
arrogantia	presumption.
ars	(artis) skill method, technique, conduct, character. strategem/ science, art, skill/ craft.
articulus	(of time) a moment, crisis.
artifex	author, artist, artisan, maker.
artificialiter	artfully.
artificiose	skillfuly.
artificiosus	skillful, accomplished, skillfuly made.
arto	to press together, reduce, abrdiged.
artus	limbs.
ascendo	to climb.
ascia	carpenter's axe, mason's trowel.
ascio	to take up, adopt as one's own.
ascisco	to receive, admit/ adopt / take up, approve.
aspectus	countenance.
asper	rough, harsh, severe. violent, fierce, rough.
aspergo	to sprinkle, cover.
asperitas	roughness, severity/ harshness, fierceness.
aspernatio	contempt.
aspernor	to spurn.
aspersus	instructed.
aspicio	to look at, behold, gaze at, see.
aspirator	inciter.
asporto	to carry off, take away.
assensus	approval.
assentator	flatterer, sycophant, yes-man.
asser	a stake, pole.
assero	to claim, defend.
assiduus	unremitting.
assilio	to leap upon.
assimilares	adj, similar.
assimulo	simulate, immatate, represent.
assuesco	(-sueui, -suetum) to accustom, to accustom oneself.
assus	dried, roasted, grilled.
astrum	star, constellation.
astus	m, cunning.
at	(conj.) but. (more emphatic and emotional than sed).
atavus	great-great-great grandfather, ancestor.
ater	gloomy, malicious.
atqui	(conj.) and yet, still.
atrocitas	hashness, cruelty, frightfulness, barbarity, horror.
atrociter	cruelly, violently.
atrox	terrible, cruel, horrible, harsh.
attentus	attentive, careful of one's property.
attero	destroy, waste, weaken, impair. to weaken, ruin, rub against, rub away, erode.
attinet	 is of importance.
attollo	to exalt. to raise, lifet up, elevate/ excite, exalt.
attonbitus	frantic, inspired, thunder-struck, stunned.
attonitus	stunned, thunderstruck.
attrecto	to touch.
attributa	assigned, associated.
auarca	leather sandal worn by pyrenean peasants.
auctor	author, originator.
auctorita	authority, power.
auctoritas	authority.
auctorizo	to confirm, approve, authenticate.
auctus	growth, enlargement, increase.
audacia	temerity.
audacious	bold
audax	bold, rash, foolhardy.
audentia	boldness, courage.
audeo	to dare. (part. ausus ).
audio	to hear, hearken, listen to.
auditor	hearer, listener.
aufero	to carry away, remove /steal, carry off, make away with. to take away by force.
augeo	increase, enlarge, enrich. to increase, strengthen.
augmento	to increase.
augmentum	increase, growth.
aula	court, hall.
aura	heaven, breeze.
aureus	golden.
auris	ear.
aurum	gold.
austerus	strict, rigid, stern.
ausus	risk, hazard, gamble, dare.
aut	or
autem	but, on the other hand, however, moreover, also.
autumo	to assert, believe, affirm.
autus	increase, enlargement, growth.
auxilium	aid, help, assistance, support.
avara	avaricious.
avare	avariciously
avaritia	avarice avarice, greed. greed
avarus	greedy, avaricious.
aveho	to carry away, remove (avexi avectum ).
avello	to tear away, tear off.
aversor	to repulse.
aversus	backward
averto	to turn away, avert, avoid. turn back.
avoco	to call away, divert.
avunculus	maternal uncle.
avus	grandfather.
bacca	berry, pearl.
baccatus	set with pearls, pearl encrusted, ornamented with pearls.
bacchatus	enraged.
bacifer	berry-bearing.
bacillum	rod, a small staff.
baiulo	to carry a burden, have a responsibility.
baiulus	porter, pall-bearer, carrier of a burden /steward.
bajulo	to to carry.
balaena	whale.
balanus	acorn, chestnut, date.
balatro	fool, buffoon, jester.
balatus	bleating of sheep, baaing.
balbus	stammering, stuttering, fumbling.
balbutio	to stutter, stammer /speak obscurely.
balena	whale.
ballista	a siege engine, catapult, stone thrower.
balnearius	pertaining to the bathhouse /bathhouse.
balneator	keeper of a bathhouse.
balo	to bleat.
balsamam	balsam tree /balsam gum.
balteus	girdle.
barathrum	pit, abyss /the underworld.
barba	beard, whiskers.
barbare	barbarously, uncouthly, savagely/ in a foreign manner.
barbaria	a country other than Greece or Rome, savagery, rudeness. lack of culture, state of being uncivilized and/or uncouth.
barbaricus	a foreigner/ not Greek or Roman/ outlander.
barbarus	barbarian. barbarian/ foreigner/ rude, uncouth, rough, savage.
barbatus	bearded, having a beard.
bardus	stupid, slow, dull.
baro	dolt, simpleton, fool, blockhead.
barrus	elephant.
bascauda	a basket.
basiatio	the act of kissing, giving a kiss, being kissed, a kiss.
basiator	one who kisses.
basilica	a public building for law cases, etc./ a church, cathedral.
basilice	royally, regally.
basilicus	regal, royal, princely.
basio	to kiss.
basis	a base/ foundation/ pedestal.
basium	a kiss.
battuo	to beat, strike, smack, knock, hit.
beatitas	happiness, felicity, blessedness.
beatus	blessed, fortunate, sometimes "saint".
bellaria	 dessert.
bellator	 courageous, brave, warlike. fighting man, warrior.
bellatorius	warlike, martial, pugnacious.
belle	prettily, handsomely, charmingly.
bellicosus	warlike.
bellicum	a signal to march, attack, advance, charge.
bellicus	martial, military, war-like.
belliger	at war, waging war, in a state of war, warlike.
belligero	to wage war, be at war, be in a state of war.
bello	to wage war.
bellor	to wage war.
bellua	a brute, beast, large animal.
bellum	war, warfare. war.
bellus	beautiful, pretty, charming, handsome.
belua	monster
bene	well (melior = better / optime = best ).
beneficentia	kindness, benevolence, kindliness.
beneficium	benefit, favor, service, privilege, right. boon, reward, wages, bribe, gift, pious donation.
beneficus	kind, generous, obliging.
benevolens	well-wishing, helpfull, thoughtful, kindly.
benevolentia	benevolence, kindness, good will.
benigne	kindly, generously.
benignitas	kind, friendly, generous/ abundant, bounteous.
benignus	kind, generous, helpful.
beo	to bless.
bestia	animal, beast.
bibo	to drink, quaff.
bicallis	foot-path, path.
bidens	sheep, sacrificial animal.
bifurcus	forked
bipennis	battle-axe.
bis	twice.
bivium	place where two ways meet.
blande	carefully, softly.
blandio	to flatter.
blandior	to flatter, caress, (+ dat.) coax.
blanditia	blandishments, attractions, allurement, charm.
blanditium	allurement, persuasion.
blandus	flattering, persuasive.
blasphematio	reviling.
blasphemo	to revile.
blasphemus	blasphemer,  reviling.
blatta	purple.
boatus	bellowing.
bona	good qualities, gifts, blessings as well as material properties.
bonus	good (melior = better / optimus = best ).
bracteola	thin gold leaf.
bravium	reward.
brevis	short, small, brief.
brevitas	shortness, brevity.
breviter	briefly.
bucinum	trumpet-blast.
bulla	stud, boss, formal papal document.
byssus	cotton cloths, linens
caballus	steed.
cacumen	apex, peak.
cadaver	corpse.
cado	to fall, drop, plummet, topple.
caecus	blind blind, sightless.
caedes	carnage.
caedo	to fell, fall, be fruitless, kill.
caelebs	celibate.
caelestis	heavenly, celestial / noun, a god, dweller in heaven.
caeli	skies, heavens, vault of heauen.
caelitus	from heaven.
caelum	sky, heaven.
caetera	the rest, that remaining.
calamitas	calamity, misfortune, disaster, loss.
calamitosus	disastrous.
calamus	anything made or reed -- pen, arrow, pipe, etc.
calceata	paved road.
calco	to tread, trample upon, tread under foot.
calculus	pebble, stone.
caleo	to be warmed, be inflamed.
caliga	darkness, gloom, mist.
caligo	to becloud, darken. to make dizzy.
calix	a vessel for drinking.
callide	skilfully, cleverly / cunningly, slyly, subtly.
calliditas	cunning.
callidus	clever, dextrous, experienced, skilful / cunning, sly.
caltha	marigold.
calumnior	to accuse falsely.
calvities	baldness.
calvus	bald.
calx	the heel /stone, pebble /lime /goal, aim.
camena	poetry, poem, song.
camera	vault, vaulted room /small boat.
caminus	a forge, large hearth.
campana	bell.
campeador	champion of the field, victor.
campester	flat, even, level/ a plain.
campitor	charger, battle-horse, war horse.
campus	level place, field, plain.
camur	curved, bent, hooked.
canalis	channel, canal /pipe.
cancer	crab /the direction south /heat of summer /disease of cancer.
candela	taper, candle.
candelabrum	lamp-stand.
candeo	to shine, glow, grow brilliant, sparkle.
candide	openly, clearly, candidly.
candidus	bright, shining, white.
canis	dog.
canistrum	bee-hive.
canities	grey hair /old age.
canonicus	canonical, according to the canons, legal, lawful, right.
canonus	canon, member of a cathedral chapter or canonry, Augustinian.
canto	to sing.
capillus	hair.
capio	to rent, hire /seize, arrest. to take, choose /attack, injure/ comprehend.
capistro	to halter, put a halter on a horse.
capistrum	halter, harness, mazzle.
capitagium	poll tax.
capitale	cattle, possessions, chattels.
capitulus	chapter, chapter meeting, chapter house.
capra	she-goat.
capreolus	roebuck.
captio	imprisonment.
captivas	captivity.
captivo	to take captive.
captivus	captive.
capto	to grab, try to get, grab at. to seize, catch at / strive after, desire, seek.
captus	a catching, taking / power or manner of comprehension / idea. taken, captured, prisoner.
capulatio	decapitation.
capulum	hilt.
capulus	coffin / handle / hilt of a sword.
carbasa	(-orum, n.) flax, flaxen, made of flax.
carbaseus	made of canvas.
carbasum	canvas sail.
carbasus	heteroclite.
carbonarius	a charcoal burner.
carcer	prison, cell, jail, dungeon.
carceres	the starting-place of a race course.
carchesium	a goblet with handles /top of a mast /scuttle.
cardiacus	of the stomach.
cardo	 line, a line limiting a field by agrimensores. (-inis, m.) a hinge /pole or pivot.
carduus	thistle.
carectum	sedgy spot, place thick with rushes.
careo	(+ abl. of sep.) be without, be deprived of, lack, want. (+ abl.) to absent oneself from. to feel the want of.
carex	(-icia) rush, sedge.
caries	rottenness, corruption, decay.
carina	the keel of a ship /ship, vessel.
cariosus	rotten, decayed.
caris	(-idia f.) a kind of crab.
caritas	charity. high price /high cost of living /dearness, affection.
carmen	song, poem /prediction, incantation /religious formula.
carnero	steer, cow.
carneus	made of flesh.
carnifex	executioner, hangman.
carnificina	the work of a hangman, execution /torture.
carnifico	behead, mangle, mutilate.
caro	(carnis f.) flesh, meat.
carpe	seize
carpo	to pluck, seize, grab, lay hold of, hold on to.
carptor	one who carves food.
carruca	four-wheeled carriage.
carrus	four-wheeled baggage wagon. wagon
caruncula	small piece of flesh.
carus	dear, beloved /costly, high-priced, expensive.
casa	hut, cottage, cabin.
caseus	cheese.
casia	a tree with an aromatic bark/ sweet-smelling mezereon.
casses	a net, trap, snare, spider's web.
cassida	a metal helmet.
cassis	a metal helmet.
casso	in vain. to bring to naught, destroy, annul, make void.
cassus	 to be devoid of whatever. empty, hollow/  deuoid of/ worthless useless, vain.
castanea	a chestnut or chestnut.
caste	purely, spotlessly, purely, uprightly, chastely.
castellani	garrison of a fortress.
castellanus	relating to a fortress, castellan.
castellatim	in single fortresses.
castellum	castle, fortress, fort, citadel/ shelter, refuge.
castigatio	 punishment, reproof.
castigator	one who punishes, reproves, corrects.
castigatus	restrained, orderly, neat.
castigo	reprove, chasten, punish, chastise/ check, restrain.
castimonia	purity, chastity, state of being unpolluted, morally clean.
castitas	chastity, pure, morally clean, unpolluted.
castor	beaver.
castra	 an encampment, temporary fortification, bivouac.
castrensis	pertaining to a camp, military/ disciplined, orderly.
castro	castrate, enervate, weaken, unman, emasculate.
castrum	castle, fort, fortress, fortified encampment, station. fortress.
castus	clean pure, chaste/ pious. continent
casualis	accidental, fortuitous.
casula	chasuble, monk's cowl.
casus	a falling /occasion, opportunity /event. accident, chance, fortune. accident, violent death. downfall.
catena	chain, fetters.
caterva	crowd, troop, flock.
catervatim	in troops, in masses.
cattus	cat.
cauda	the tail of an animal.
causa	(in the abl.) on account of, for the sake of. case at law, case, law-suit /situation, condition. cause /reason, motive, pretext /interest.
causidicus	advocate, pleader.
cautela	caution, precaution, security.
cautio	caution, care, foresight.
cautor	guarantor. one who is on his guard/ one who goes bond, suretor.
cautus	 careful, cautious /[things] secure, made safe.  made safe, secured/ fenced/ secured by law. circumspect.
cavare	manorial task of cultivating, digging, ditching, etc.
caveo	 beware, avoid, look out for. +acc.= be on guard against /+ut+subj.=take care that. +dat. of a person= take care of, provide for. give security, mortgage.
caverna	hollow place, cavity, cave, cavern.
cavo	hollow out, excavate/ pierce/ dig, cultivate.
cavum	a hollow, hole, cavity, pit, excavation, depression.
cavus	 hollow, empty. hole, pit.
cedo	(+ dat.) give ground to, submit to, be inferior to. to go, proceed /turn out, happen/go away, withdraw.
celebratio	large crowd, audience, assembly.
celebrer	adj, renowned, well known, popular, famous.
celebris	celebrated.
celebritas	crowd, multitude /celebration /fame, renown.
celebrus	abounding in, rich in, much frequented, respected.
celer	quick, swift, rapid, speedy, fast.
celeritas	speed, swiftness, rapidity, quickness.
celeriter	rapidly, quickly, swiftly, speedily.
cella	room, store-room, garret.
cellarius	adj. relating to a store-room /n. cellarer.
celo	to hide, conceal, keep secret.
celox	-ocis fast, rapid, swift, fleet.
celsitudo	loftiness.
celsus	elevated, lofty /arrogant, proud, haughty.
cena	dinner, meal.
cenaculum	garret, attic.
ceno	to dine.
censeo	argue, suggest, advise. censui, censum/ estimate, assess, evaluate.
censor	judge.
censura	opinion, judgment.
census	-us/ wealth, property /census. gifts, tax, annual render.
centum	one hundred, 100 (undeclinable).
cerealis	sacred to Ceres.
